"date","tavg_cincy","tmin_cincy","tmax_cincy","prcp_cincy","snow_cincy","wspd_cincy","pres_cincy","tavg_columbus","tmin_columbus","tmax_columbus","wspd_columbus","pres_columbus","prcp_columbus","tavg_cleveland","tmin_cleveland","tmax_cleveland","prcp_cleveland","snow_cleveland","wspd_cleveland","pres_cleveland"
2021-03-09,11,1.4,19.7,0,0,12.2,1028.1,8.1,-0.1,17.9,9.7,1029.1,0,7.1,3.2,14.3,0,0,11.9,1027.4
2021-03-10,13.7,7.5,22,0,0,21.6,1022.9,13.4,4.9,20.9,15.7,1024.9,0,16.3,9.9,21.6,0,0,24.5,1022
2021-03-11,16.7,12.5,19.2,14.5,0,20.2,1020.4,15.4,11.9,16.9,20.7,1021.4,9.1,18.2,7.7,23.2,0,0,31.1,1017
2021-03-12,12.8,8.1,16.4,3.6,0,11.9,1027,10.1,5.9,13.9,10.5,1026.8,5.4,5.9,1.6,11,0,0,18.7,1026.1
2021-03-13,8.7,4.2,11.4,0,0,10.8,1029,4.1,-0.1,7.9,7.8,1029.9,0,2,-1.2,7.1,0,0,13,1029.8
2021-03-14,7.2,-0.2,13.1,0,0,9,1025.4,4.8,-2.1,11.9,10.9,1025.9,0,4.4,-0.1,6.6,0,0,23.5,1026.4
2021-03-15,4,0.9,6.4,7.4,0,25.9,1021.9,0.6,-2.1,3.3,15.8,1026.1,7.1,0.3,-2.3,6,0,0,22.1,1028.7
2021-03-16,6.7,3.6,14.2,0,0,11.2,1014,7.1,2.9,12.9,10.3,1014.2,0.5,6.4,3.8,9.9,0.5,0,9.3,1015.3
2021-03-17,9.5,5.3,17,3,0,13.3,1014.1,9.2,1.9,16.9,6.8,1014.9,1.7,4.4,1.6,9.9,0,0,11.3,1016.3
2021-03-18,12.4,4.7,13.6,10.2,0,23,1004.5,9.6,4.9,12.1,15.7,1005.4,21.4,4.8,3.8,10.5,17.3,0,31.6,1012
2021-03-19,5.3,0.3,10.3,0,0,30.6,1024.9,4.1,-0.1,9.2,22.8,1025.2,0,1.7,-0.1,4.3,0,0,35.5,1029.7
2021-03-20,6.5,-0.2,16.4,0,0,11.5,1031.9,4.6,-4.1,14.9,8.7,1032.8,0,2.4,-1.2,5.5,0,0,10.4,1035
2021-03-21,10.8,3.6,19.2,0,0,7.9,1027.6,7.1,-2.1,17.9,9.2,1028.9,0,8.1,4.3,14.3,0,0,12.4,1029.9
2021-03-22,14,7.5,21.4,0,0,10.8,1021.3,11.5,1.9,19.9,9.4,1022.8,0,15.1,9.3,21.6,0,0,18.5,1022.8
2021-03-23,14.9,10.3,22,0,0,15.8,1014.5,12.7,2.9,19.9,10.6,1016.9,0,16,10.5,21,0,0,19.7,1017.6
2021-03-24,18.3,13.1,23.6,0.5,0,21.6,1010.2,17.3,11.9,22.9,15.6,1012,1,19.3,15.5,23.8,0,0,25.3,1010.1
2021-03-25,14.9,9.2,18.6,11.9,0,16.9,1009.5,12.9,6.9,18.9,11.1,1011.3,1.9,12.6,7.7,19.3,2.3,0,12.4,1011.6
2021-03-26,14.4,7.5,17.5,0,0,14.8,1013.3,13.5,6.9,16.9,21.6,1013.4,6.5,11.2,6,18.8,4.8,0,25.3,1009.1
2021-03-27,12.5,6.4,23.1,0,0,13.3,1016.2,11.7,1.9,21.6,8.6,1017.4,0,8,7.1,9.9,0,0,11.8,1017.7
2021-03-28,12.9,2,16.4,22.4,0,25.9,1011.4,11.3,5.3,15.4,22,1009.9,7.1,8.9,5.5,14.9,6.9,0,28,1006.2
2021-03-29,6.4,-0.2,15.3,0,0,10.4,1022.8,6.4,-0.1,13.5,8.1,1023.1,0,5,2.1,9.9,0,0,19.2,1021.7
2021-03-30,13.2,4.7,23.6,2.5,0,20.5,1016.3,12.5,4.1,21.4,17.1,1018.3,0,16.1,8.8,23.8,0,0,30.6,1015.2
2021-03-31,11.8,3.1,14.2,6.1,0,23.4,1018.4,10.7,4.6,16.9,16.7,1017.6,17.5,9.9,6,20.5,0.8,0,21.1,1015.5
